convert_to_spouse_hindu;Convert to Hinduism;;;;;;;;;x
convert_to_spouse_hindu_desc;The pillow talk of a spouse or concubine can be very pursuasive. And all these deities don't sound too different from the Old Gods other than having many arms...;;;;;;;;;x
convert_to_spouse_buddhist;Convert to Buddhism;;;;;;;;;x
convert_to_spouse_buddhist_desc;The pillow talk of a spouse or concubine can be very pursuasive. Though the Buddha's teachings are a bit too soft for me  I can't deny they might help me find peace of mind...;;;;;;;;;x
convert_to_spouse_nestorian;Convert to Nestorianism;;;;;;;;;x
convert_to_spouse_nestorian_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_yazidi;Convert to Yazidi Islam;;;;;;;;;x
convert_to_spouse_yazidi_desc;The pillow talk of a spouse or concubine can be very pursuasive. The Yazidi may be reclusive, but I find their faith rather fascinating.;;;;;;;;;x
convert_to_spouse_ibadi;Convert to Ibadi Islam;;;;;;;;;x
convert_to_spouse_ibadi_desc;The pillow talk of a spouse or concubine can be very pursuasive. I see the merits of Ibadi Islam...;;;;;;;;;x
convert_to_spouse_manichean;Convert to Manichean;;;;;;;;;x
convert_to_spouse_manichean_desc;The pillow talk of a spouse or concubine can be very pursuasive. Manicheism is a rather peace-loving creed, but there is appeal in supporting the religion of Light... perhaps I could become a defender of the Light?;;;;;;;;;x
convert_to_spouse_paulician;Convert to Paulicianism;;;;;;;;;x
convert_to_spouse_paulician_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_bosnian;Convert to Bosnianism;;;;;;;;;x
convert_to_spouse_bosnian_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_syriac;Convert to Syriacism;;;;;;;;;x
convert_to_spouse_syriac_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_maronite;Convert to Maronitism;;;;;;;;;x
convert_to_spouse_maronite_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_chaldean;Convert to Chaldeanism;;;;;;;;;x
convert_to_spouse_chaldean_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_nasrani;Convert to Nasranism;;;;;;;;;x
convert_to_spouse_nasrani_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_arkagun;Convert to Arkagunism;;;;;;;;;x
convert_to_spouse_arkagun_desc;The pillow talk of a spouse or concubine can be very pursuasive. This White Christ does not sound very warlike though...;;;;;;;;;x
convert_to_spouse_murjite;Convert to Murjite Islam;;;;;;;;;x
